adventurer_id,cluster,age,gender,region,total_views,total_seconds,avg_completion,unique_publishers,total_subscriptions
cs9j,1,25,F,Puddington,17,4161.0,0.6895054146474064,7,9
q7oa,4,20,M,Muckminster,20,5617.0,0.7203061893266837,3,5
9zl8,4,23,F,Sugarbrook,20,4563.0,0.597066656950487,4,4
o1e1,4,24,F,Jamshire,27,6053.0,0.5731959472565529,7,10
229b,4,21,M,Jamshire,11,2713.0,0.5730977931868455,5,5
c7hg,6,19,F,Shield Barrow,11,2554.0,0.5474025849346805,5,7
zh7x,1,17,M,Jamshire,15,2814.0,0.4624874216034502,2,2
kohq,4,12,M,Puddington,23,6213.0,0.650019568467194,6,6
2nxf,4,20,M,Puddington,41,11433.0,0.7459766515807803,8,13
8tak,4,16,M,Boggy Bottom,10,1960.0,0.4580554424732234,3,4
azpf,4,27,F,Greycliffs,12,2609.0,0.5533282453554998,4,8
gz8k,3,32,M,Greycliffs,26,6921.0,0.6856494920042598,5,9
u9vk,4,13,M,Sugarbrook,15,3292.0,0.4867052097238714,6,8
u3yc,4,20,F,Jamshire,27,7303.0,0.6916608396903617,4,4
pu7k,4,27,M,Puddington,17,4976.0,0.6693988010946464,4,4
y2ag,4,23,F,Puddington,17,4071.0,0.6007877553737957,6,7
a5ft,2,13,M,Knitwick,12,2918.0,0.546432024030457,4,6
4g1y,4,16,M,Greycliffs,25,5068.0,0.49504972340742043,6,6
mufm,2,18,F,Gnome's Rest,26,6754.0,0.6235556658814547,4,7
ru1u,2,16,F,Threadbare,13,3893.0,0.6412910088232265,4,7
zts9,4,18,M,Jamshire,25,6661.0,0.6162136826706057,5,7
61a8,2,12,F,Gnome's Rest,14,3075.0,0.495326298134176,4,6
p3wh,4,17,M,Puddington,18,4181.0,0.5805843302238587,3,3
utgz,3,24,F,Greycliffs,32,6842.0,0.5299458543861896,7,8
hj7h,2,18,M,Knitwick,10,1937.0,0.4170289458764784,2,2
x49q,4,18,M,Puddington,29,8503.0,0.6987955041033425,6,7
3xwu,4,19,M,Greycliffs,30,7606.0,0.6328864347949278,3,3
tkh1,4,16,M,Greycliffs,18,4653.0,0.6032200445442771,4,5
7sz4,2,12,F,Threadbare,10,2243.0,0.5804006888849755,2,2
wao5,4,23,M,Greycliffs,21,5430.0,0.6017461000784609,5,7
9i8a,2,13,NB,Knitwick,27,5088.0,0.4894097708150176,4,6
2g1k,2,14,M,Knitwick,12,2288.0,0.47368943310999995,2,2
qnep,2,12,M,Knitwick,15,3049.0,0.5172843255420109,4,5
4jyu,4,23,M,Puddington,11,2446.0,0.5200753299367958,3,3
in9q,4,17,M,Greycliffs,25,5536.0,0.5451884467627416,6,8
xj8h,4,24,F,Sugarbrook,23,4257.0,0.46466464902816634,5,9
yxx4,2,15,M,Knitwick,13,2796.0,0.45878721995685573,4,7
xijh,4,22,F,Puddington,30,7391.0,0.5968550942992752,7,12
u9ep,2,18,M,Threadbare,11,2749.0,0.5461557821062256,4,4
d77t,4,23,M,Jamshire,28,6546.0,0.6035934799378301,7,8
zi11,3,19,M,Greycliffs,30,9004.0,0.7133526269824021,7,9
vrsr,2,14,F,Gnome's Rest,13,2862.0,0.5453845384775341,3,3
4886,2,11,F,Gnome's Rest,20,4186.0,0.494111686032576,4,9
galb,2,21,F,Knitwick,20,4216.0,0.4958732403099912,2,4
m7ke,2,17,NB,Gnome's Rest,15,2993.0,0.47953824170495074,4,5
uxcw,4,19,F,Sugarbrook,25,5566.0,0.5439418663518145,5,8
akha,1,29,M,Greycliffs,11,2173.0,0.5296783660027866,2,2
hjnd,2,11,M,Gnome's Rest,27,5250.0,0.4644564140046609,4,6
nz8b,3,15,M,Sugarbrook,22,5958.0,0.6757143867861042,6,11
mqni,4,18,M,Sugarbrook,19,2815.0,0.35877722342536766,7,8
a4pk,4,24,F,Greycliffs,15,2415.0,0.3882571379360949,6,10
z7sk,4,28,M,Puddington,13,2814.0,0.5234319960418392,6,8
d6cy,4,52,F,Boggy Bottom,15,4560.0,0.733423303886396,3,7
cfmz,2,18,M,Knitwick,17,4766.0,0.6962860124008137,4,6
qrdr,4,18,M,Sugarbrook,10,2493.0,0.5908530231201655,5,6
5h85,4,25,M,Jamshire,13,3073.0,0.5327669214191257,4,4
34e1,4,11,M,Jamshire,13,2784.0,0.5193322012242926,5,5
9gga,2,15,F,Threadbare,16,4397.0,0.654468321663887,4,7
gubu,4,21,F,Sugarbrook,29,5963.0,0.5132089470273639,8,13
ufgj,4,32,NB,Jamshire,13,3896.0,0.7714814735316394,5,6
kx3u,4,28,NB,Sugarbrook,19,3952.0,0.5123879727836759,9,18
awgo,2,22,M,Gnome's Rest,17,4286.0,0.6365727270600826,4,4
hdk5,4,25,M,Sugarbrook,25,6208.0,0.6112544583910315,8,13
6oy8,2,16,F,Gnome's Rest,13,2588.0,0.46083845528498724,4,6
3kac,2,21,M,Gnome's Rest,15,3559.0,0.5658300335671463,4,7
2c1h,4,21,F,Jamshire,24,6841.0,0.7139629511157354,3,4
arr6,4,11,F,Greycliffs,18,3774.0,0.5420409173351249,4,5
poby,2,17,M,Gnome's Rest,25,6142.0,0.6039279066676784,4,6
qils,4,19,F,Puddington,13,2688.0,0.5319281330158396,2,2
x1ud,4,17,M,Muckminster,19,5525.0,0.6935033120973292,3,5
uzl6,2,17,M,Gnome's Rest,10,2610.0,0.5768072349948464,1,1
f4he,4,27,M,Sugarbrook,20,4687.0,0.6232860147382737,7,10
85a4,2,21,F,Threadbare,12,3015.0,0.6258370190182022,3,3
alcb,3,15,M,Gelatina Grove,12,2776.0,0.5456761957091114,3,7
5h6p,4,16,M,Puddington,15,3809.0,0.6229401773113179,4,5
42t3,2,17,M,Knitwick,14,3510.0,0.5873935873521787,4,5
pol5,4,23,F,Sugarbrook,12,2727.0,0.585314526283403,5,6
cjaa,4,15,F,Sugarbrook,13,3335.0,0.6112596766439093,6,8
6536,4,24,M,Jamshire,25,5083.0,0.4972685872566499,8,13
4x9f,6,22,F,Shield Barrow,16,3109.0,0.4583038616909013,5,6
vhks,2,12,F,Gnome's Rest,13,2872.0,0.5088072122843312,4,6
sb34,4,16,F,Muckminster,15,2905.0,0.4960892399359684,3,3
r3ag,2,18,M,Gnome's Rest,33,7810.0,0.5631944879712275,4,6
c1ld,4,30,M,Boggy Bottom,14,3408.0,0.577206162360869,3,5
rizu,4,14,M,Puddington,30,8008.0,0.7111545509558516,8,10
d8p6,6,11,F,Narathil,20,4848.0,0.6404387750211608,3,3
d6xm,3,31,F,Jamshire,20,4839.0,0.6117688591070978,7,8
v6id,3,26,F,Puddington,23,6249.0,0.6967320197094715,4,7
q19z,4,17,M,Sugarbrook,10,1647.0,0.372610662230745,3,5
bo7b,6,76,M,Duelburg,14,2977.0,0.5357297655495069,4,5
xaug,6,39,F,Duelburg,16,3203.0,0.5160046876081797,4,5
j4tp,4,20,M,Greycliffs,17,2740.0,0.4244411247260227,5,6
n6bt,6,85,F,Shield Barrow,33,7793.0,0.6196355086384918,3,4
nku3,4,28,F,Puddington,18,4199.0,0.589581232672616,5,10
4lkt,6,47,F,Shield Barrow,10,2168.0,0.5450234345718121,1,1
fzdt,4,16,M,Jamshire,26,5725.0,0.5451859909182782,8,10
rsid,6,114,M,Narathil,11,3050.0,0.6301402730554538,2,2
utmf,6,92,M,Shield Barrow,19,4942.0,0.7389434001968241,3,3
xt2e,4,23,M,Puddington,18,4884.0,0.6730367384954143,4,4
6kvt,4,22,M,Puddington,12,1472.0,0.3029487122846442,8,10
l221,2,14,NB,Knitwick,22,5026.0,0.6006836443952582,4,6
jzpq,4,13,F,Jamshire,17,3372.0,0.4958209139881233,6,10
3eh6,6,72,F,Narathil,20,4499.0,0.5533928238793597,4,4
45bo,6,110,F,Duelburg,15,4014.0,0.6893094204705486,4,4
5nsu,4,14,F,Greycliffs,12,2033.0,0.4121275879763358,4,5
1rq1,4,28,M,Puddington,13,2016.0,0.36353389361185945,9,15
xmjc,4,22,F,Greycliffs,20,4678.0,0.5961518585852823,5,6
6tpy,6,53,F,Duelburg,16,3242.0,0.543961814499354,2,3
uahg,4,17,F,Greycliffs,19,4326.0,0.5704495393732751,5,7
zxmq,4,19,M,Jamshire,19,4699.0,0.5757550815273603,6,8
6vtb,6,77,M,Duelburg,18,4641.0,0.6707096911091407,4,4
3ei2,2,12,F,Threadbare,13,2855.0,0.5072219178671886,4,6
wlvw,4,32,M,Greycliffs,11,2654.0,0.551621557528304,6,8
khgh,6,11,F,Narathil,15,4453.0,0.7401538775915493,4,4
ih4u,6,11,M,Shield Barrow,16,4785.0,0.8151387522915816,5,6
udy7,4,23,M,Jamshire,21,4999.0,0.6121854422701691,5,5
h33x,2,13,F,Threadbare,24,5054.0,0.5300963835219502,4,7
rjm9,6,82,M,Duelburg,21,4637.0,0.5773869587032537,5,6
yozg,4,13,F,Jamshire,16,3858.0,0.5731629848051447,6,8
e43j,4,24,M,Greycliffs,15,2904.0,0.45953862921468297,9,11
35pe,6,46,F,Duelburg,11,2842.0,0.6956856613052096,2,2
dgi2,4,17,F,Jamshire,20,4772.0,0.5594737839933475,6,6
95nt,4,22,M,Muckminster,11,2476.0,0.5239351712274614,3,5
8yow,0,11,M,Soggy Hollow,17,4053.0,0.6250976216767755,6,7
bwyc,6,56,F,Narathil,12,2989.0,0.6146287084736136,4,4
ho3u,0,10,M,Toadstool Marshes,11,3014.0,0.7062311178631514,7,7
sf5u,6,19,F,Duelburg,18,3708.0,0.5600640232892514,2,2
hsmp,6,10,M,Narathil,17,5322.0,0.7384920310826845,5,7
vwi5,1,14,M,Greycliffs,10,2167.0,0.5477540073153264,1,1
6bjy,2,14,F,Gnome's Rest,20,4290.0,0.4975412966478652,4,5
ri7h,0,10,M,Soggy Hollow,10,2658.0,0.6578058984121105,4,4
qe78,2,14,M,Knitwick,14,3193.0,0.5236955341659064,3,3
gyq3,2,12,M,Gnome's Rest,14,2691.0,0.4636676592888463,3,5
we47,4,40,M,Gelatina Grove,24,4622.0,0.5205081695323849,3,7
1ckj,6,12,M,Duelburg,21,5417.0,0.6995194410179559,4,4
acj3,2,12,F,Gnome's Rest,14,2267.0,0.40939986864196204,4,5
sotc,0,10,F,Dripwater Delta,12,3088.0,0.6540385579457302,4,4
c6nv,4,26,F,Puddington,14,3260.0,0.5436191835281778,6,9
83hw,6,11,M,Shield Barrow,12,3872.0,0.7870741882678352,3,3
i8s8,1,11,M,Jamshire,10,1967.0,0.497298313895013,2,2
7q6z,6,61,M,Shield Barrow,17,3233.0,0.5505320110347706,2,2
qkgz,6,60,F,Duelburg,20,4435.0,0.626232899180417,4,4
h5vx,0,10,M,Soggy Hollow,12,2475.0,0.536975242062558,4,4
1f2f,6,58,F,Duelburg,15,2650.0,0.40872936249918074,4,4
8a6o,6,64,F,Duelburg,14,3096.0,0.6010750357427906,4,4
gln5,0,10,F,Slurpington,20,5237.0,0.6804007904800324,3,3
p9tl,2,13,F,Gnome's Rest,11,1711.0,0.4058058944922582,4,5
qy97,2,17,F,Knitwick,22,4555.0,0.5119772958039972,4,7
e6ws,4,28,F,Jamshire,25,6471.0,0.6232210397515231,7,8
kqpf,0,11,M,Toadstool Marshes,16,4225.0,0.6684077931810469,5,5
kmwd,6,63,F,Shield Barrow,14,3008.0,0.5244363010327865,5,5
qxxp,2,12,M,Knitwick,14,2437.0,0.38505549879156936,4,4
px88,4,22,F,Puddington,16,3671.0,0.5538540520540158,4,6
gcg7,0,11,M,Soggy Hollow,12,2965.0,0.597616269500126,6,6
wecz,0,10,M,Toadstool Marshes,13,3157.0,0.6857191056106638,6,6
ldfi,3,21,M,Greycliffs,32,9054.0,0.7359544196475685,9,14
fgon,2,14,M,Threadbare,13,2323.0,0.4360663537053304,4,8
r2j9,6,61,F,Shield Barrow,11,2147.0,0.5634252959747282,1,1
mzms,0,11,M,Slurpington,13,2820.0,0.5630899432591857,2,2
y1jk,4,18,M,Puddington,20,3045.0,0.3644207781541194,8,12
kfh1,6,65,F,Duelburg,23,5401.0,0.6246720574161176,4,4
n11i,4,23,M,Muckminster,24,6389.0,0.6742114596739447,3,6
15m1,4,19,M,Greycliffs,20,3451.0,0.41311529677718095,3,4
5v23,6,22,M,Shield Barrow,16,3452.0,0.4754638402675266,4,5
tb4k,2,12,F,Threadbare,12,2641.0,0.5189325363749798,4,8
3yba,4,22,F,Gelatina Grove,19,5441.0,0.6900218257322889,3,6
ed9n,6,74,M,Shield Barrow,14,3300.0,0.5711221975799342,1,1
1zxh,4,27,M,Puddington,15,3994.0,0.7181950335437339,2,2
uiiy,0,11,M,Slurpington,16,4426.0,0.7523987312589978,5,5
k8aq,4,37,M,Gelatina Grove,14,3941.0,0.6864824238319666,3,5
abgk,4,14,M,Sugarbrook,22,4497.0,0.4805001005231105,6,9
fzq1,0,41,F,Toadstool Marshes,15,2957.0,0.5202012263651627,7,7
fu8w,6,21,F,Narathil,12,2558.0,0.4868458349369856,2,2
tm4s,4,19,M,Boggy Bottom,12,2415.0,0.47724866705053154,3,6
doyy,0,11,F,Soggy Hollow,12,2535.0,0.5264539226146087,5,5
wty5,2,11,F,Knitwick,20,3548.0,0.43349855203863374,3,4
rcvn,0,11,F,Toadstool Marshes,13,2717.0,0.508897245589231,3,3
6nuo,6,126,M,Duelburg,20,4795.0,0.6450909279295566,4,6
5odi,0,11,F,Soggy Hollow,15,3899.0,0.7010083287265165,2,3
y1aw,4,19,M,Jamshire,24,5021.0,0.5281850592638887,6,8
lu1r,6,41,M,Narathil,21,5030.0,0.6247722641916917,3,3
8v7d,4,24,M,Sugarbrook,17,3044.0,0.5126373983057484,4,5
7rwr,2,13,F,Threadbare,32,7231.0,0.5664844995136298,4,7
ps6m,0,12,M,Dripwater Delta,10,2033.0,0.5423034689491155,3,3
341n,6,118,F,Duelburg,18,3662.0,0.5730136208613607,5,5
l8hp,2,13,M,Knitwick,18,2536.0,0.3198689655225973,4,5
avzd,0,11,M,Slurpington,15,4286.0,0.8184591547333339,6,6
kqj7,6,55,F,Duelburg,14,3679.0,0.670842184593358,2,2
vgj2,2,11,F,Knitwick,13,3271.0,0.5855283971647867,4,6
yf2j,6,10,F,Duelburg,13,3306.0,0.6171349953964178,3,3
4jvf,3,28,F,Jamshire,14,3210.0,0.6042836748124465,6,7
f92r,4,11,M,Sugarbrook,16,2887.0,0.46045830910278274,5,7
aqct,4,12,F,Muckminster,23,5869.0,0.5997776643723932,3,7
yl33,0,10,F,Dripwater Delta,11,2860.0,0.7067370072483361,2,2
oyzj,6,80,F,Duelburg,12,3457.0,0.7662213898563027,4,5
l12d,0,10,M,Dripwater Delta,20,5274.0,0.6901760866990216,8,8
4jyy,0,11,NB,Soggy Hollow,20,6454.0,0.8605486205596877,4,4
opxu,4,33,M,Puddington,20,4055.0,0.5255821239782363,4,4
dwol,4,17,M,Greycliffs,16,2438.0,0.36936673582197965,3,4
4bbq,4,16,F,Boggy Bottom,13,2323.0,0.4157762293029307,3,6
zt23,4,37,F,Muckminster,12,2591.0,0.5877468956292949,3,4
6pe7,4,18,F,Jamshire,10,2639.0,0.6373847017417036,4,4
t9gd,4,10,M,Narathil,10,2992.0,0.646078180188143,3,5
3naj,5,22,F,Soggy Hollow,12,2178.0,0.5203449557749852,3,3
q4iz,3,16,F,Jamshire,26,6823.0,0.6463234261141273,7,11
lgog,4,12,M,Duelburg,10,3249.0,0.7919350527948007,2,2
14r8,2,12,F,Threadbare,16,3171.0,0.45780401774093993,4,6
rz2q,2,16,M,Threadbare,15,2610.0,0.4458513977513994,3,6
qc5s,2,19,M,Threadbare,17,2555.0,0.36009354132220145,4,7
q33t,4,22,M,Jamshire,16,4044.0,0.6699071722972053,6,7
q5of,4,57,M,Shield Barrow,10,1389.0,0.3191234153208363,4,4
9r1h,6,55,M,Narathil,10,2076.0,0.5032148633285435,4,5
urj5,1,14,M,Jamshire,13,1828.0,0.3985831439502273,4,6
zfax,4,14,F,Gelatina Grove,11,2678.0,0.6529896417905491,3,5
kwey,4,20,M,Puddington,25,7776.0,0.7817945656839028,8,10
wj4c,0,11,F,Toadstool Marshes,11,2788.0,0.6373839918505283,4,4
j21z,3,27,M,Jamshire,18,5317.0,0.7999556518016141,4,4
clmr,4,21,M,Sugarbrook,19,4028.0,0.5567000402220413,6,10
wiw4,4,40,F,Greycliffs,20,4553.0,0.6243708050383937,7,11
j6z6,0,12,F,Toadstool Marshes,14,4280.0,0.8255541549641657,3,3
8vs8,6,99,F,Duelburg,21,4628.0,0.5346635837188619,3,4
5v3x,4,22,F,Greycliffs,13,3602.0,0.6616581557557484,4,6
832q,4,21,F,Puddington,16,3939.0,0.6111379511529913,7,7
29ao,4,16,F,Jamshire,17,3839.0,0.5471019471162378,6,7
ih3j,4,33,M,Sugarbrook,43,8856.0,0.5234762904988908,8,16
yjen,2,21,F,Gnome's Rest,11,2490.0,0.5615753570528447,4,7
opod,4,32,F,Jamshire,13,3449.0,0.6738422400486554,7,10
12ts,0,10,F,Toadstool Marshes,15,4093.0,0.7478415597402568,4,4
m6vd,0,11,M,Toadstool Marshes,15,4363.0,0.7513720316806822,7,7
yuk3,0,11,F,Soggy Hollow,15,3612.0,0.6289742882566657,5,5
lnjo,3,28,M,Jamshire,13,2425.0,0.5129947242025206,5,9
fn37,4,14,M,Puddington,11,2565.0,0.5715336779372326,5,7
2vv6,4,26,F,Sugarbrook,21,5744.0,0.7386331347270814,5,7
uwyx,4,21,F,Sugarbrook,17,3127.0,0.4858319602112123,7,8
tu7a,4,33,F,Sugarbrook,13,2506.0,0.45439909621794805,7,9
8kvv,0,55,F,Soggy Hollow,19,4213.0,0.5730165055034923,5,5
fqtp,4,17,M,Greycliffs,10,2371.0,0.6729670737336626,1,1
i2qp,5,99,F,Toadstool Marshes,16,3162.0,0.5770065589736165,5,5
ma91,3,21,F,Sugarbrook,11,2255.0,0.5237811372145883,5,5
d2ts,0,11,F,Dripwater Delta,11,3524.0,0.7819766568895058,3,3
ygu4,4,30,F,Sugarbrook,19,4531.0,0.6933953533820408,5,8
xv8p,5,12,F,Dripwater Delta,13,3340.0,0.6523478260896791,3,3
zxw6,2,19,M,Gnome's Rest,11,2561.0,0.6037904210175199,3,3
7k2w,2,10,F,Knitwick,13,1787.0,0.3064533845005756,4,5
435a,4,25,F,Puddington,25,5328.0,0.5715450543442789,5,6
99ge,4,31,F,Jamshire,19,4075.0,0.5578236482750296,7,9
y44m,4,23,M,Sugarbrook,11,2386.0,0.6132045286342032,7,9
m94m,4,19,F,Sugarbrook,14,2549.0,0.4625719325785483,5,7
d5qp,4,32,M,Greycliffs,16,3137.0,0.48868977671263825,8,10
xx81,4,12,F,Sugarbrook,23,4412.0,0.46610358546240704,5,6
jtq2,6,11,M,Shield Barrow,13,3678.0,0.7521807725554286,2,2
q8bf,4,21,F,Boggy Bottom,16,3475.0,0.5136911360167443,2,2
hn6b,0,25,F,Slurpington,11,2526.0,0.6411703934468842,4,4
amx4,4,17,F,Puddington,18,4794.0,0.715582450870985,7,11
fr2d,4,27,M,Jamshire,13,2580.0,0.5037671620024886,5,6
f9qm,4,22,M,Sugarbrook,11,1198.0,0.3073259616764428,6,7
9367,4,35,F,Puddington,13,2863.0,0.5754701499293374,3,3
y4ie,0,25,F,Toadstool Marshes,10,2989.0,0.7832993516363314,3,3
jf2i,4,18,F,Greycliffs,13,1934.0,0.31322601037044867,3,4
463n,0,12,M,Toadstool Marshes,14,3669.0,0.7000763964869133,6,6
fil8,0,11,M,Soggy Hollow,14,3513.0,0.662742478158569,2,2
mcmh,2,18,M,Threadbare,23,5073.0,0.5349489646493117,4,6
d6d5,0,10,M,Dripwater Delta,15,4657.0,0.8128356839160156,5,5
23lf,4,31,M,Muckminster,12,2595.0,0.5212420827548669,3,6
6dnb,0,103,M,Dripwater Delta,19,4893.0,0.6564941853182685,3,3
n5qw,0,11,M,Slurpington,15,3085.0,0.5976187231492711,6,7
mztj,0,12,M,Toadstool Marshes,11,1989.0,0.4557115142531217,3,3
64bi,1,17,F,Greycliffs,51,12341.0,0.6151246394585402,9,15
e6nd,0,13,M,Toadstool Marshes,12,3022.0,0.6882589606095513,3,3
vvvk,4,49,M,Greycliffs,12,2376.0,0.5041851089136138,6,9
xgz9,0,12,M,Toadstool Marshes,16,5258.0,0.8728271193613021,6,6
sn3a,6,51,F,Shield Barrow,24,4164.0,0.43003053965628135,5,7
765i,0,12,M,Soggy Hollow,11,2982.0,0.7198835075232716,6,7
4uds,5,12,F,Toadstool Marshes,22,6438.0,0.8286394239672613,8,8
6mrk,1,28,M,Sugarbrook,19,4373.0,0.6373422872456153,6,6
s2pc,6,28,M,Duelburg,18,2786.0,0.3696917808708555,4,6
vtju,0,12,F,Dripwater Delta,19,5074.0,0.6775449686759364,8,9
k81u,2,17,M,Gnome's Rest,17,3611.0,0.5215822456099981,4,6
opnm,4,22,M,Sugarbrook,13,2480.0,0.48813160289511826,5,7
t92i,4,16,F,Puddington,24,5745.0,0.6331233191075085,7,10
2jhh,2,21,F,Threadbare,11,2822.0,0.6002233846730015,3,4
v2pv,2,19,M,Knitwick,12,1828.0,0.3707625682194144,4,4
2zgq,4,16,M,Jamshire,10,1678.0,0.4647654829077842,5,7
bdvt,0,13,F,Soggy Hollow,11,2513.0,0.586669447866936,6,6
bx9l,0,12,F,Toadstool Marshes,12,2399.0,0.6063631695864397,4,4
twzz,3,17,M,Puddington,25,6733.0,0.6954267842851922,4,7
og6b,4,18,F,Sugarbrook,18,2896.0,0.38350038054269775,9,12
13bd,4,30,F,Jamshire,10,2798.0,0.7374282002942216,4,5
vip4,2,13,M,Threadbare,22,4034.0,0.4513230226107016,4,9
ewzo,4,19,F,Jamshire,22,4675.0,0.5502355376750542,7,9
hl6g,0,12,M,Toadstool Marshes,12,2477.0,0.532655200779946,3,3
ifz3,4,10,M,Puddington,16,3482.0,0.5332514188659357,2,2
tdwu,4,18,F,Puddington,11,2441.0,0.585328643429884,3,3
t1ri,4,26,M,Jamshire,17,3657.0,0.5533771897066706,6,7
tegt,0,13,F,Dripwater Delta,18,5432.0,0.8306538677651628,6,6
grpy,0,12,M,Toadstool Marshes,16,4601.0,0.813833964820886,6,6
epo6,0,11,M,Toadstool Marshes,10,2219.0,0.6396936884849131,3,3
p8xb,2,11,F,Threadbare,22,3881.0,0.42839022686420863,4,7
ga6a,4,13,F,Sugarbrook,12,1907.0,0.38358391604700753,9,9
nv5f,0,11,M,Soggy Hollow,12,3159.0,0.6650469258102168,3,3
hc9r,6,39,F,Narathil,15,2793.0,0.4425580452755106,4,5
z3fm,4,37,M,Muckminster,21,4493.0,0.5159093301282294,3,5
hbbn,4,34,F,Sugarbrook,10,2230.0,0.61676114974563,6,7
xd5z,0,11,M,Toadstool Marshes,17,3889.0,0.5927830699619179,4,4
ynhr,6,82,M,Narathil,15,3270.0,0.5833387435330428,4,4
rbsm,3,22,M,Jamshire,15,3112.0,0.5452259182164583,4,5
7y66,4,15,F,Puddington,20,4765.0,0.5786206696258368,7,9
clyl,0,27,M,Slurpington,19,4463.0,0.5948632559312678,3,3
r5wx,0,10,F,Slurpington,12,2637.0,0.5554766532838626,8,8
px3x,3,26,M,Jamshire,19,5424.0,0.7632751906785642,6,10
ronp,0,13,F,Toadstool Marshes,14,2621.0,0.4719492178800868,4,4
zylp,4,19,M,Sugarbrook,24,5977.0,0.5949455712227222,7,9
wq6i,1,33,F,Jamshire,15,4322.0,0.7513662787971123,1,1
eaey,2,12,F,Gnome's Rest,12,1404.0,0.2865285558553892,4,5
quu6,6,17,M,Narathil,12,1863.0,0.3578378152930321,3,4
amqw,0,11,F,Slurpington,16,3060.0,0.502291886584221,5,5
mpmn,6,112,F,Narathil,16,3279.0,0.5238379705256457,3,3
wsdn,3,25,F,Jamshire,21,4774.0,0.5987189048850968,5,6
nofe,4,19,F,Puddington,13,2409.0,0.4687251692149469,9,15
r594,4,22,M,Jamshire,20,2853.0,0.325428384295109,7,8
2cen,4,24,F,Jamshire,14,2764.0,0.5098323240623047,2,3
mqmm,4,28,M,Jamshire,16,3363.0,0.5478216863522841,4,4
x27n,6,44,F,Narathil,14,3020.0,0.6099990275697522,3,3
5tda,4,13,M,Puddington,17,3532.0,0.5569474129195655,5,9
ldly,4,30,F,Jamshire,18,3791.0,0.5531897370776936,8,11
izmb,4,23,M,Sugarbrook,26,5369.0,0.5602624470478701,6,7
f7mm,4,27,M,Jamshire,14,2340.0,0.4449612786128361,5,8
eb4u,4,18,M,Jamshire,28,5942.0,0.516285936038433,8,12
d5x8,4,24,M,Greycliffs,13,2556.0,0.5215863826590336,5,5
5xci,4,26,M,Greycliffs,10,2299.0,0.6164833445399885,5,6
kim1,4,14,NB,Sugarbrook,15,2609.0,0.4453494554066418,5,7
b8js,0,12,F,Toadstool Marshes,11,3208.0,0.8168649578397471,7,7
w3yy,2,11,M,Knitwick,15,2950.0,0.48775827248929027,4,6
sc92,0,10,F,Slurpington,13,3067.0,0.6423051314053946,4,6
owb9,5,11,M,Slurpington,12,2531.0,0.5606448234718228,6,7
h7tw,6,36,F,Narathil,13,2106.0,0.4404725069172851,3,3
5pnp,4,16,M,Jamshire,16,3230.0,0.46708925917972893,5,5
l7ag,0,49,F,Toadstool Marshes,13,2942.0,0.5862611210731983,3,3
guyc,4,19,F,Jamshire,17,3466.0,0.518722054783541,8,11
