adventurer_id,age,total_watch_time,avg_watch_time,num_views,viewing_time_std,avg_completion_rate,median_completion_rate,completion_std,unique_content,completion_consistency,viewing_consistency,num_subscriptions,num_publishers,publisher_concentration,churn_rate,avg_content_length,genre_concentration,finisher_ratio,is_active,cluster
675g,61,462.0,154.0,3.0,163.09199857749,0.4665915818879585,0.32833690221270523,0.4659650145908757,3.0,0.6821445191712722,1.0522064424354194,1,1,0.5,0.0,5.483333333333333,0.16666666666666674,0.3333333333333333,1,2
679p,71,101.0,25.25,4.0,8.65544144839919,0.07470063837450694,0.06827863161252791,0.02295117835746305,4.0,0.9775637597931943,0.3297311027961596,4,4,0.2,0.75,5.615,0.0,0.0,1,2
67hg,36,1502.0,150.2,10.0,115.30327161205985,0.4758272951886763,0.4625199362041468,0.3498138504915248,10.0,0.7408428944745657,0.762587775212036,7,4,0.2,0.8571428571428571,5.002000000000001,0.30000000000000004,0.3,1,0
67k4,21,2301.0,209.1818181818182,11.0,130.88148698866328,0.6403142877463381,0.7926829268292683,0.3489744777809663,11.0,0.7413038693252213,0.6227060367107682,3,3,0.25,0.6666666666666666,5.507272727272727,0.28787878787878785,0.45454545454545453,1,0
67l7,83,1468.0,209.71428571428572,7.0,103.17899380157166,0.7135743813565778,0.8074074074074075,0.3127501865348924,7.0,0.7617595565837084,0.48966302143118756,6,3,0.25,1.0,4.895714285714286,0.17142857142857149,0.5714285714285714,1,0
67o5,556,562.0,112.4,5.0,116.70604097474988,0.33726472909819133,0.352328431372549,0.2910451156941778,5.0,0.7745662702595124,1.0291538004828031,2,2,0.3333333333333333,1.0,5.122,0.10000000000000009,0.0,1,0
67qi,258,1290.0,129.0,10.0,106.54263622293816,0.4224406462433533,0.392605849652974,0.3042454653052312,10.0,0.7667268367814268,0.8195587401764474,7,7,0.125,1.0,4.9399999999999995,0.28,0.2,1,0
67zu,45,601.0,120.2,5.0,94.4944442811322,0.37079426603766874,0.33884297520661155,0.3205391380781663,5.0,0.7572664612238151,0.7796571310324439,7,6,0.14285714285714285,1.0,5.8,0.1499999999999999,0.2,1,0
68cx,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.0,0.0,0.0,0.0,0,1
68uk,21,1122.0,140.25,8.0,125.32101636540116,0.35349489333732825,0.3825964062184535,0.2521401634111255,8.0,0.7986326365219081,0.887228434445318,6,6,0.14285714285714285,0.8333333333333334,6.07,0.25,0.125,1,0
6949,52,872.0,218.0,4.0,169.40877584509408,0.6076537766900956,0.6400268473742945,0.435805564486259,4.0,0.6964731330859598,0.7735560540871876,7,5,0.16666666666666666,0.8571428571428571,5.675,0.0,0.5,1,0
696t,78,1454.0,161.55555555555554,9.0,89.190962422085,0.5809816369523226,0.5523255813953488,0.314156459093605,9.0,0.7609444013155908,0.5486798781946446,17,9,0.1,0.8823529411764706,4.631111111111111,0.3111111111111111,0.3333333333333333,1,0
69oz,296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.0,0.0,0.0,0.0,0,1
69qv,57,241.0,120.5,2.0,71.4177848998413,0.4502532437691277,0.4502532437691277,0.28345321112801497,2.0,0.7791479980178704,0.5878006987641259,4,3,0.25,1.0,4.525,0.0,0.0,1,2
6a88,12,540.0,90.0,6.0,80.21471186758698,0.24335011514722896,0.17060100393433728,0.23872822303604807,6.0,0.8072795803013677,0.8814803501932635,6,5,0.16666666666666666,1.0,6.626666666666666,0.1333333333333333,0.0,1,0
6ad7,66,241.0,120.5,2.0,89.80256121069154,0.4432364259934996,0.4432364259934996,0.3200951466548542,2.0,0.7575211548455569,0.7391157301291484,10,7,0.125,1.0,4.48,0.0,0.0,1,0
6api,31,2197.0,146.46666666666667,15.0,112.78985938883149,0.4396176942659343,0.25219298245614036,0.36100368840944286,15.0,0.7347518662265087,0.7648498602316782,6,3,0.25,0.8333333333333334,5.873333333333333,0.34444444444444433,0.3333333333333333,1,0
6apq,52,2232.0,171.69230769230768,13.0,130.414968859269,0.5244341553139091,0.5174385363064609,0.3817682142774612,13.0,0.7237103804149301,0.7551869020803996,9,6,0.14285714285714285,0.8888888888888888,5.267692307692308,0.34615384615384603,0.3076923076923077,1,0
6b1e,16,750.0,125.0,6.0,143.7456086285769,0.3392488460419752,0.13427066228790366,0.36747340042952686,6.0,0.7312756501778371,1.1408381637188643,9,5,0.16666666666666666,0.8888888888888888,6.366666666666667,0.1333333333333333,0.16666666666666666,1,0
6bcr,62,68.0,68.0,1.0,0.0,0.19439679817038308,0.19439679817038308,0.0,1.0,1.0,0.0,3,3,0.25,1.0,5.83,0.0,0.0,1,2
6blj,66,680.0,136.0,5.0,59.84563476144271,0.501775965884124,0.5301379811183733,0.2140414294527445,5.0,0.8236951192438068,0.4368294508134504,9,7,0.125,0.8888888888888888,4.512,0.10000000000000009,0.0,1,0
6bzv,99,454.0,227.0,2.0,103.23759005323593,0.8213290199190217,0.8213290199190217,0.2088273399036142,2.0,0.8272480005951346,0.452796447601912,5,3,0.25,1.0,4.485,0.0,0.5,1,0
6cob,22,1078.0,269.5,4.0,123.92067355099928,0.7322275203544568,0.8804583370439636,0.33908682908733206,4.0,0.746777563842936,0.45811709260997885,5,4,0.2,0.6,6.1675,0.16666666666666674,0.75,1,0
7grl,50,354.0,88.5,4.0,93.84561790515315,0.31400334881272496,0.14601920920481692,0.37430910616045254,4.0,0.7276383424350595,1.0485543900017111,1,1,0.5,0.0,5.1425,0.16666666666666674,0.25,1,2
6cvw,73,36.0,36.0,1.0,0.0,0.11516314779270632,0.11516314779270632,0.0,1.0,1.0,0.0,2,2,0.3333333333333333,0.5,5.21,0.0,0.0,1,2
6cwv,30,906.0,151.0,6.0,100.2496882788171,0.4841829466861595,0.5498038823415297,0.3150634702372753,6.0,0.7604195710945961,0.6595374228869546,6,4,0.2,1.0,5.3116666666666665,0.0,0.16666666666666666,1,0
6d1p,14,2381.0,264.55555555555554,9.0,147.3050500756094,0.7277244529911161,0.9622367465504721,0.3748436697795421,9.0,0.7273554237336317,0.5547052094897424,5,4,0.2,1.0,6.102222222222222,0.3111111111111111,0.6666666666666666,1,0
6dcs,88,56.0,56.0,1.0,0.0,0.19690576652601965,0.19690576652601965,0.0,1.0,1.0,0.0,7,4,0.2,1.0,4.74,0.0,0.0,1,2
6dfo,40,662.0,94.57142857142857,7.0,58.14882384266868,0.34716558593589475,0.38167938931297707,0.2067220021285051,7.0,0.8286912795458494,0.6084331343776992,14,8,0.1111111111111111,0.9285714285714286,4.364285714285715,0.0714285714285714,0.0,1,0
6dhu,86,278.0,139.0,2.0,117.37972567696688,0.4107976546078106,0.4107976546078106,0.3290600690765675,2.0,0.7524114396836865,0.8384266119783349,3,3,0.25,0.3333333333333333,5.495,0.0,0.0,1,2
6dji,47,1381.0,230.16666666666666,6.0,101.01765522257318,0.7095545354965727,0.7850672877846792,0.31176954720040206,6.0,0.7623290250442349,0.4369905777472524,9,5,0.16666666666666666,0.8888888888888888,5.411666666666666,0.22222222222222232,0.5,1,0
6dst,35,199.0,49.75,4.0,21.823152842795192,0.1277822317028084,0.11727999717963934,0.033279235768681865,4.0,0.9677926018285612,0.4300128638974422,5,5,0.16666666666666666,0.6,6.305,0.16666666666666674,0.0,1,2
6dw6,44,1740.0,193.33333333333334,9.0,131.68997683954538,0.5945326327985153,0.7436570428696413,0.3550781886015407,9.0,0.7379647967266107,0.6776499665842816,6,5,0.16666666666666666,0.8333333333333334,5.33,0.16666666666666652,0.4444444444444444,1,0
6eay,85,153.0,153.0,1.0,0.0,0.5567685589519651,0.5567685589519651,0.0,1.0,1.0,0.0,3,3,0.25,0.6666666666666666,4.58,0.0,0.0,1,2
6edp,51,507.0,84.5,6.0,85.92263962425736,0.25141501589121423,0.13518706405700315,0.24464080547608869,6.0,0.8034446529474736,1.0049431535000861,8,7,0.125,0.875,5.851666666666667,0.25,0.0,1,0
6fdi,54,1117.0,186.16666666666666,6.0,75.33237462516807,0.6004599453452785,0.519744206610132,0.19200868586707703,6.0,0.838920061452901,0.40248819924399687,8,5,0.16666666666666666,0.875,5.083333333333333,0.22222222222222232,0.16666666666666666,1,0
6fws,48,430.0,215.0,2.0,137.17871555019022,0.5819066063426965,0.5819066063426965,0.349932277195927,2.0,0.7407779018938604,0.6350866460656954,4,4,0.2,0.75,6.074999999999999,0.0,0.5,1,0
6ga4,108,1136.0,142.0,8.0,79.90708890419458,0.43254235498355104,0.4968165303471759,0.21411653142589143,8.0,0.8236441676859245,0.5587908314978642,7,4,0.2,0.8571428571428571,5.29125,0.16666666666666652,0.0,1,0
6h33,21,577.0,82.42857142857143,7.0,53.09380736914976,0.25183776171772176,0.17958030669895078,0.22185464560535598,7.0,0.8184279558920526,0.6363983760000826,3,3,0.25,0.6666666666666666,6.285714285714286,0.22857142857142865,0.0,1,0
6hnl,20,227.0,75.66666666666667,3.0,36.22614157391501,0.19109413791356333,0.22932816537467698,0.06928962540807274,3.0,0.9352003201362495,0.47251489009454356,2,2,0.3333333333333333,0.5,6.54,0.0,0.0,1,2
6hu4,22,1621.0,324.2,5.0,210.65896610398522,0.6395951674432253,0.7635658914728682,0.38972429034715705,5.0,0.7195671882155827,0.6477827985977406,1,1,0.5,0.0,8.156,0.1499999999999999,0.4,1,2
6hxn,36,1182.0,107.45454545454545,11.0,88.04472004199188,0.37857086714330584,0.1989247311827957,0.33035039113151676,11.0,0.7516816672256245,0.8118121713846694,5,5,0.16666666666666666,0.8,4.953636363636364,0.15909090909090917,0.09090909090909091,1,0
6is2,87,531.0,132.75,4.0,145.87751711624378,0.4025320556503642,0.28085677437345324,0.4159016592287472,4.0,0.7062637390683671,1.0906730251681778,3,3,0.25,1.0,5.0875,0.16666666666666674,0.25,1,0
6iyz,22,1504.0,150.4,10.0,109.44932871221988,0.4006178837995181,0.2788787962198367,0.3269034332366136,10.0,0.7536343451616345,0.722914984889167,6,5,0.16666666666666666,1.0,6.8340000000000005,0.16000000000000014,0.2,1,0
6j3h,54,205.0,102.5,2.0,33.23401871576773,0.32037183134507957,0.32037183134507957,0.1281094668792477,2.0,0.8864387981481583,0.3211016301040361,2,2,0.3333333333333333,1.0,5.42,0.0,0.0,1,2
6j8i,40,489.0,244.5,2.0,239.7091988222396,0.6729243786356425,0.6729243786356425,0.3814113785353138,2.0,0.7238973238082652,0.9764122151618722,1,1,0.5,0.0,5.21,0.0,0.5,1,2
6jju,39,1425.0,158.33333333333334,9.0,126.86508581954297,0.4732226788238769,0.3443526170798898,0.37601573009427103,9.0,0.7267358781803241,0.7962243879887634,4,4,0.2,1.0,5.414444444444444,0.08888888888888902,0.3333333333333333,1,0
6jnh,146,135.0,67.5,2.0,28.991378028648448,0.2625672607917474,0.2625672607917474,0.08056486264869972,2.0,0.9254419004045554,0.42323179603866345,6,3,0.25,1.0,4.2,0.0,0.0,1,2
6k9d,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0.2,1.0,0.0,0.0,0.0,0,1
6ktz,46,13.0,13.0,1.0,0.0,0.0880758807588076,0.0880758807588076,0.0,1.0,1.0,0.0,1,1,0.5,0.0,2.46,0.0,0.0,1,2
6kvt,22,1472.0,122.66666666666667,12.0,135.2145321219938,0.3029487122846442,0.18945793183998663,0.27679285803849624,12.0,0.7832124010595377,1.0933789659460416,10,8,0.1111111111111111,0.9,6.735833333333333,0.25,0.08333333333333333,1,0
6l69,104,118.0,59.0,2.0,65.05382386916237,0.3852096763474447,0.3852096763474447,0.4612774847475878,2.0,0.6843327228659339,1.0842303978193728,1,1,0.5,0.0,3.065,0.0,0.0,1,2
6lyf,47,1523.0,217.57142857142858,7.0,109.29144087081589,0.6345047222904141,0.699724517906336,0.31186479064477896,7.0,0.762273678759609,0.5000262000625564,3,3,0.25,0.6666666666666666,5.722857142857143,0.17142857142857149,0.2857142857142857,1,0
6mjn,71,64.0,32.0,2.0,22.627416997969522,0.0939026179546836,0.0939026179546836,0.059284980291898604,2.0,0.9440330209576256,0.6856793029687734,5,4,0.2,1.0,5.51,0.0,0.0,1,2
6mnl,34,281.0,281.0,1.0,0.0,0.8173356602675974,0.8173356602675974,0.0,1.0,1.0,0.0,6,5,0.16666666666666666,0.8333333333333334,5.73,0.0,1.0,1,0
6mrk,28,4373.0,230.1578947368421,19.0,128.515568947845,0.6373422872456153,0.6532921810699588,0.2957920490551905,19.0,0.7717287667640318,0.5559644376159051,6,6,0.14285714285714285,1.0,5.991578947368422,0.23684210526315774,0.3684210526315789,1,0
6nqo,133,740.0,185.0,4.0,110.1544370418187,0.5870623355404819,0.7384366305737273,0.3380030198488657,4.0,0.7473824686232435,0.5922281561388102,4,4,0.2,0.75,5.0425,0.0,0.0,1,2
6nsf,54,1852.0,231.5,8.0,133.96054856348036,0.6814137599180312,0.7891262539633037,0.3573050971497826,8.0,0.7367540298050226,0.5761744024235714,12,8,0.1111111111111111,0.9166666666666666,5.22875,0.3333333333333335,0.5,1,0
6nto,38,618.0,206.0,3.0,165.97288935244816,0.6633672933810884,0.9404502541757445,0.5199021741085986,3.0,0.657937081106214,0.8018013978379138,6,5,0.16666666666666666,0.8333333333333334,5.1866666666666665,0.0,0.6666666666666666,1,0
6o77,59,72.0,72.0,1.0,0.0,0.22900763358778622,0.22900763358778622,0.0,1.0,1.0,0.0,6,4,0.2,1.0,5.24,0.0,0.0,1,2
6ofw,27,440.0,146.66666666666666,3.0,175.98390077883073,0.41791405500240514,0.24547803617571057,0.46692787676417935,3.0,0.6816967731268755,1.191764565093662,4,3,0.25,1.0,5.286666666666666,0.16666666666666674,0.3333333333333333,1,0
6oiu,133,39.0,39.0,1.0,0.0,0.13771186440677965,0.13771186440677965,0.0,1.0,1.0,0.0,4,4,0.2,1.0,4.72,0.0,0.0,1,2
6ojb,27,1146.0,191.0,6.0,149.08252748058706,0.516053116983111,0.48654750012934145,0.4016781641474635,6.0,0.713430533183932,0.7764714972947243,3,3,0.25,1.0,6.345,0.22222222222222232,0.3333333333333333,1,0
6oqr,44,1374.0,196.28571428571428,7.0,127.05341958629617,0.5631072582738695,0.46314416177429873,0.3231007259051263,7.0,0.7558003562547403,0.6440071955858604,3,3,0.25,0.6666666666666666,5.588571428571428,0.17142857142857149,0.42857142857142855,1,0
6oyc,48,45.0,45.0,1.0,0.0,0.1968503937007874,0.1968503937007874,0.0,1.0,1.0,0.0,1,1,0.5,0.0,3.81,0.0,0.0,1,2
6pbl,20,752.0,107.42857142857143,7.0,119.07820559455473,0.31681037637908016,0.2534435261707989,0.3086795682900197,7.0,0.7641289924825873,1.0982179699102543,10,6,0.14285714285714285,0.9,5.3100000000000005,0.25,0.14285714285714285,1,0
6pjk,28,720.0,180.0,4.0,80.0333263917809,0.48032237472838063,0.4771955787055778,0.207246137461323,4.0,0.8283314967591167,0.4421730739877398,3,3,0.25,0.6666666666666666,6.1625,0.25,0.0,1,0
6pk5,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0.25,1.0,0.0,0.0,0.0,0,1
6pml,14,1263.0,105.25,12.0,71.07758245236488,0.2918879288554332,0.24835342886602277,0.19500102047887857,12.0,0.8368193690740658,0.6689654819046106,8,6,0.14285714285714285,1.0,6.226666666666667,0.2222222222222221,0.0,1,0
6pox,80,572.0,71.5,8.0,94.07747567070149,0.25878012678892914,0.1875746714456392,0.3028942603215447,8.0,0.7675219934986952,1.2976203540786413,5,5,0.16666666666666666,0.8,4.55125,0.25,0.125,1,0
6ps2,21,2701.0,225.08333333333334,12.0,107.39177074730826,0.6321731878805378,0.6471458248656461,0.24936028256104523,12.0,0.8004096287982796,0.47500967525532584,2,2,0.3333333333333333,0.0,6.017499999999999,0.2222222222222221,0.3333333333333333,1,2
6pvw,100,152.0,38.0,4.0,12.274635093014645,0.12988081431901755,0.12059902268527795,0.045437099931696645,4.0,0.9565377008959551,0.31473423315422167,5,4,0.2,0.8,4.922499999999999,0.16666666666666674,0.0,1,2
6q8u,30,545.0,181.66666666666666,3.0,161.1593414398723,0.38348709037865997,0.2694165737643998,0.3372705849942397,3.0,0.7477918165711448,0.8822591684664542,4,4,0.2,0.75,7.573333333333333,0.0,0.0,1,0
6qaq,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.3333333333333333,0.5,0.0,0.0,0.0,0,1
6qe6,11,923.0,184.6,5.0,95.51596725155434,0.49279470005347503,0.3825136612021858,0.3364289078495854,5.0,0.7482627726222079,0.5146334442432885,3,2,0.3333333333333333,0.6666666666666666,6.859999999999999,0.0,0.2,1,2
6qf4,19,613.0,153.25,4.0,149.25453650280338,0.41531046036747,0.29983550607785614,0.4469672167579718,4.0,0.691100661036791,0.9676144992078015,3,2,0.3333333333333333,1.0,7.397500000000001,0.16666666666666674,0.25,1,0
6qkk,86,1809.0,201.0,9.0,89.67441106581074,0.6276467188389817,0.6371406371406372,0.26138794915850483,9.0,0.7927775119994753,0.44393272804856804,9,8,0.1111111111111111,0.8888888888888888,5.31,0.25,0.2222222222222222,1,0
6qm8,71,767.0,191.75,4.0,99.79103166116681,0.7367521838390355,0.718232044198895,0.16861126646716473,4.0,0.8557165489454039,0.5177226026519679,4,3,0.25,0.25,4.19,0.16666666666666674,0.5,1,0
6qnm,45,712.0,118.66666666666667,6.0,119.2303093456805,0.391987744314918,0.22234876434292558,0.38163484132543624,6.0,0.7237802421374054,0.996353559991759,10,6,0.14285714285714285,0.9,4.986666666666667,0.16666666666666674,0.3333333333333333,1,0
6qob,13,334.0,111.33333333333333,3.0,155.66095635493613,0.2780642797016591,0.07562536358347877,0.3627361737489388,3.0,0.733817755236483,1.3857058429222802,6,3,0.25,0.8333333333333334,5.760000000000001,0.0,0.0,1,0
6qsb,92,2536.0,230.54545454545453,11.0,63.67003005553495,0.7011863288227915,0.6951716114019779,0.2145690396241366,11.0,0.8233373051477274,0.27497853577184317,8,5,0.16666666666666666,0.75,5.524545454545454,0.25757575757575757,0.2727272727272727,1,0
6qwi,96,337.0,67.4,5.0,91.57947368269814,0.21357131584543362,0.09689922480620154,0.24103450820792077,5.0,0.8057793666382577,1.338881194191493,5,3,0.25,0.8,4.494,0.1499999999999999,0.0,1,0
6qxf,85,545.0,181.66666666666666,3.0,123.87224601714999,0.5349511290866195,0.45219638242894056,0.36128592380976254,3.0,0.7345995301276239,0.6781327336705292,1,1,0.5,0.0,5.736666666666667,0.0,0.3333333333333333,1,2
6rbz,17,1154.0,88.76923076923077,13.0,62.193453361472386,0.21964799547390187,0.15308641975308643,0.16296572727763525,13.0,0.8598705675883341,0.6928148189367104,10,7,0.125,0.8,6.672307692307692,0.3076923076923077,0.0,1,0
6rd3,43,845.0,140.83333333333334,6.0,126.77131641923842,0.4030780545512125,0.2867174571790849,0.3266674730816829,6.0,0.753768386042604,0.8938048161168396,6,4,0.2,1.0,5.555,0.1333333333333333,0.16666666666666666,1,0
6rjx,36,55.0,55.0,1.0,0.0,0.1766217084136159,0.1766217084136159,0.0,1.0,1.0,0.0,1,1,0.5,0.0,5.19,0.0,0.0,1,2
6sdo,56,270.0,270.0,1.0,0.0,0.967741935483871,0.967741935483871,0.0,1.0,1.0,0.0,1,1,0.5,0.0,4.65,0.0,1.0,1,2
6ses,17,1341.0,223.5,6.0,191.48759750960375,0.5422887474404375,0.5454364275749451,0.4696068337611775,6.0,0.6804541031159275,0.8529514365683909,6,4,0.2,1.0,7.288333333333333,0.25,0.5,1,0
6sf4,31,556.0,79.42857142857143,7.0,57.10474919787654,0.2213475101602964,0.15792442188381273,0.15599089181873627,7.0,0.8650587189546851,0.7100057626734205,7,4,0.2,0.8571428571428571,6.118571428571428,0.22857142857142865,0.0,1,0
6t3u,54,18.0,18.0,1.0,0.0,0.05847953216374269,0.05847953216374269,0.0,1.0,1.0,0.0,7,4,0.2,0.7142857142857143,5.13,0.0,0.0,1,2
6tey,133,451.0,150.33333333333334,3.0,130.02051120239966,0.570667078567752,0.587557603686636,0.43374225159808916,3.0,0.6974754345736635,0.8591663735841387,5,4,0.2,0.8,3.823333333333333,0.16666666666666674,0.3333333333333333,1,0
6tp5,74,414.0,103.5,4.0,26.057628441590765,0.3741221380974047,0.3793592718891099,0.12860445187874942,4.0,0.8860500225170421,0.24935529609177765,8,6,0.14285714285714285,0.875,4.7524999999999995,0.16666666666666674,0.0,1,0
6ttv,101,360.0,180.0,2.0,210.71782079359116,0.5268761936861026,0.5268761936861026,0.6035113876345514,2.0,0.6236313678290543,1.1641868552132109,1,1,0.5,0.0,5.455,0.0,0.5,1,2
6ueu,79,454.0,90.8,5.0,55.18786098409685,0.2939428124827226,0.28944020356234096,0.16805089541986037,5.0,0.8561270779562616,0.6011749562537784,8,6,0.14285714285714285,1.0,5.01,0.1333333333333333,0.0,1,0
7n4d,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.5,0.0,0.0,0.0,0.0,0,1
6ux4,51,1731.0,173.1,10.0,122.52840940415047,0.5136176088224157,0.49851190476190477,0.3467409759051584,10.0,0.7425332843443705,0.7037817886510653,7,5,0.16666666666666666,0.8571428571428571,5.489,0.16000000000000014,0.3,1,0
6uyx,55,279.0,279.0,1.0,0.0,0.7380952380952381,0.7380952380952381,0.0,1.0,1.0,0.0,2,2,0.3333333333333333,0.5,6.3,0.0,0.0,1,2
6v2h,25,1832.0,140.92307692307693,13.0,106.37156695475656,0.4273652159966378,0.41589648798521256,0.2766247471520523,13.0,0.7833155374990511,0.7495015557787724,7,6,0.14285714285714285,0.7142857142857143,5.488461538461538,0.26923076923076916,0.15384615384615385,1,0
6vck,28,324.0,162.0,2.0,206.47518010647187,0.45546802923852103,0.45546802923852103,0.5558097160188915,2.0,0.642752124314319,1.266718896358723,5,4,0.2,0.6,5.16,0.0,0.5,1,0
6vvq,45,308.0,154.0,2.0,79.19595949289332,0.5685496467335314,0.5685496467335314,0.2766802669833905,2.0,0.7832814729429901,0.5109416741476989,1,1,0.5,0.0,4.48,0.0,0.0,1,2
6vy2,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.3333333333333333,1.0,0.0,0.0,0.0,0,1
6w5i,89,52.0,52.0,1.0,0.0,0.25793650793650796,0.25793650793650796,0.0,1.0,1.0,0.0,7,5,0.16666666666666666,0.7142857142857143,3.36,0.0,0.0,1,2
6wcu,40,871.0,217.75,4.0,134.3164795051846,0.6089164027417501,0.6750076522803796,0.37166734824916486,4.0,0.7290397349447943,0.614018192023701,7,7,0.125,1.0,5.7975,0.0,0.25,1,0
6wsr,30,3027.0,216.21428571428572,14.0,135.88353529708874,0.5800132577835242,0.7229840112098775,0.361456963569767,14.0,0.7345072424309177,0.6255736580595995,10,7,0.125,0.9,6.408571428571428,0.3265306122448981,0.42857142857142855,1,0
6wx1,27,1333.0,190.42857142857142,7.0,126.05138785809692,0.5160544971328263,0.4425410421127766,0.31186401442520534,7.0,0.7622741297909228,0.6584773992587153,6,5,0.16666666666666666,0.8333333333333334,6.1,0.1071428571428572,0.2857142857142857,1,0
6x1d,36,2511.0,179.35714285714286,14.0,122.39067783936007,0.5656727727760434,0.6616686759091821,0.3756484290304372,14.0,0.7269299182094107,0.6786017781192241,7,4,0.2,1.0,5.218571428571429,0.26190476190476186,0.35714285714285715,1,0
6x61,188,753.0,125.5,6.0,101.53176842742374,0.4065481277941962,0.3433321371912065,0.3082036333042347,6.0,0.7644069887454906,0.8026226753156027,8,6,0.14285714285714285,0.875,5.076666666666667,0.16666666666666674,0.0,1,0
6xhf,49,539.0,179.66666666666666,3.0,154.51321410589236,0.5981307086443616,0.8265213442325159,0.4682380827979607,3.0,0.6810884499701447,0.8552391924680389,1,1,0.5,0.0,5.5,0.16666666666666674,0.6666666666666666,1,2
6xrv,86,623.0,207.66666666666666,3.0,69.78777352325645,0.6977998119490533,0.7655038759689922,0.2634311748495647,3.0,0.7914954291982457,0.3344461989932418,5,4,0.2,1.0,5.023333333333333,0.16666666666666674,0.3333333333333333,1,0
6xze,41,448.0,89.6,5.0,48.15911128748121,0.28466515407815857,0.2487080103359173,0.1427854809890738,5.0,0.8750548695582885,0.5315575197293733,5,5,0.16666666666666666,0.8,5.268,0.26666666666666683,0.0,1,0
6ye1,70,471.0,235.5,2.0,120.91525958289962,0.665253885149173,0.665253885149173,0.3796152087147924,2.0,0.7248397913296198,0.5112695965450301,8,6,0.14285714285714285,0.875,6.015000000000001,0.0,0.5,1,0
6yhn,29,2527.0,252.7,10.0,112.19036401481982,0.6595401274634378,0.6392839333475808,0.23380464926948102,10.0,0.8105010793986605,0.4422166496445401,2,2,0.3333333333333333,0.5,6.261,0.1333333333333333,0.4,1,0
6yu2,64,309.0,61.8,5.0,50.44997522298698,0.20377461504068503,0.13435700575815737,0.14558460767355091,5.0,0.8729167564766747,0.8033435545061621,7,6,0.14285714285714285,0.8571428571428571,4.636,0.1499999999999999,0.0,1,0
6z6y,232,208.0,104.0,2.0,117.37972567696688,0.39932293199882246,0.39932293199882246,0.4603028541253612,2.0,0.6847894580052324,1.1179021493044465,3,2,0.3333333333333333,0.6666666666666666,4.52,0.0,0.0,1,2
